================================================================================
MARINE SOUND CATALOG — Galápagos Hydrophone Recordings
================================================================================

──────────────────────────────────────────────────────────────────────
FILE: 5783.040122170635.wav
  Unit: 5783  |  Recorded: 2004-01-22 17:06:35
  Segments: 121

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
   07:20-07:30  near-silence               ambient          Silence                    -0.135
   07:30-07:40  near-silence               ambient          Silence                    -0.124
   07:40-07:50  near-silence               ambient          Silence                    -0.135
   07:50-08:00  near-silence               ambient          Silence                    -0.173
   08:00-08:10  near-silence               ambient          Silence                    -0.139
   08:10-08:20  near-silence               ambient          Silence                    -0.176
   08:20-08:30  near-silence               ambient          Silence                    -0.151
   08:30-08:40  near-silence               ambient          Silence                    -0.141
   08:40-08:50  near-silence               ambient          Silence                    -0.153
   08:50-09:00  near-silence               ambient          Silence                    -0.159
   09:00-09:10  near-silence               ambient          Silence                    -0.157
   09:10-09:20  near-silence               ambient          Silence                    -0.142
   09:20-09:30  near-silence               ambient          Silence                    -0.148
   09:30-09:40  near-silence               ambient          Silence                    -0.155
   09:40-09:50  near-silence               ambient          Silence                    -0.109
   09:50-10:00  near-silence               ambient          Silence                    -0.144
   10:00-10:10  near-silence               ambient          Silence                    -0.082
   10:10-10:20  near-silence               ambient          Silence                    -0.045
   10:20-10:30  near-silence               ambient          Silence                    -0.051
   10:30-10:40  near-silence               ambient          Silence                    -0.055
   10:40-10:50  near-silence               ambient          Silence                    -0.053
   10:50-11:00  near-silence               ambient          Silence                    -0.055
   11:00-11:10  near-silence               ambient          Silence                    -0.051
   11:10-11:20  near-silence               ambient          Silence                    -0.052
   11:20-11:30  near-silence               ambient          Silence                    -0.052
   11:30-11:40  near-silence               ambient          Silence                    -0.048
   11:40-11:50  near-silence               ambient          Silence                    -0.047
   11:50-12:00  near-silence               ambient          Silence                    -0.052
   12:00-12:10  near-silence               ambient          Silence                    -0.048
   12:10-12:20  near-silence               ambient          Silence                    -0.052
   12:20-12:30  near-silence               ambient          Silence                    -0.054
   12:30-12:40  near-silence               ambient          Silence                    -0.054
   12:40-12:50  near-silence               ambient          Silence                    -0.049
   12:50-13:00  near-silence               ambient          Silence                    -0.049
   13:00-13:10  near-silence               ambient          Silence                    -0.052
   13:10-13:20  near-silence               ambient          Silence                    -0.058
   13:20-13:30  near-silence               ambient          Silence                    -0.048
   13:30-13:40  near-silence               ambient          Silence                    -0.053
   13:40-13:50  near-silence               ambient          Silence                    -0.054
   13:50-14:00  near-silence               ambient          Silence                    -0.047
   14:00-14:10  near-silence               ambient          Silence                    -0.380
   14:10-14:20  near-silence               ambient          Silence                    -0.303
   14:20-14:30  near-silence               ambient          Silence                    -0.293
   14:30-14:40  near-silence               ambient          Silence                    -0.297
   14:40-14:50  near-silence               ambient          Silence                    -0.288
   14:50-15:00  near-silence               ambient          Silence                    -0.305
   15:00-15:10  near-silence               ambient          Silence                    -0.280
   15:10-15:20  near-silence               ambient          Silence                    -0.301
   15:20-15:30  near-silence               ambient          Silence                    -0.286
   15:30-15:40  near-silence               ambient          Silence                    -0.264
   15:40-15:50  near-silence               ambient          Silence                    -0.273
   15:50-16:00  near-silence               ambient          Silence                    -0.284
   16:00-16:10  near-silence               ambient          Silence                    -0.240
   16:10-16:20  near-silence               ambient          Silence                    -0.269
   16:20-16:30  near-silence               ambient          Silence                    -0.268
   16:30-16:40  near-silence               ambient          Silence                    -0.268
   16:40-16:50  near-silence               ambient          Silence                    -0.287
   16:50-17:00  near-silence               ambient          Silence                    -0.292
   17:00-17:10  near-silence               ambient          Silence                    -0.301
   17:10-17:20  near-silence               ambient          Silence                    -0.320
   17:20-17:30  near-silence               ambient          Silence                    -0.341
   17:30-17:40  near-silence               ambient          Silence                    -0.345
   17:40-17:50  near-silence               ambient          Silence                    -0.354
   17:50-18:00  near-silence               ambient          Silence                    -0.356
   18:00-18:10  near-silence               ambient          Silence                    -0.360
   18:10-18:20  near-silence               ambient          Silence                    -0.355
   18:20-18:30  near-silence               ambient          Silence                    -0.375
   18:30-18:40  near-silence               ambient          Silence                    -0.360
   18:40-18:50  near-silence               ambient          Silence                    -0.340
   18:50-19:00  near-silence               ambient          Silence                    -0.377
   19:00-19:10  near-silence               ambient          Silence                    -0.364
   19:10-19:20  near-silence               ambient          Silence                    -0.379
   19:20-19:30  near-silence               ambient          Silence                    -0.392
   19:30-19:40  near-silence               ambient          Silence                    -0.375
   19:40-19:50  near-silence               ambient          Silence                    -0.361
   19:50-20:00  near-silence               ambient          Silence                    -0.251
   20:00-20:10  near-silence               ambient          Silence                    -0.000

──────────────────────────────────────────────────────────────────────
FILE: 6478.230723191251.wav
  Unit: 6478  |  Recorded: 2023-07-23 19:12:51
  Segments: 60

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
  ────────────  ─────────────────────────  ───────────────  ─────────────────────────  ──────
   00:00-00:10  vessel noise               unknown          Music                      -0.989
   00:10-00:20  near-silence               ambient          Silence                    -0.886
   00:20-00:30  near-silence               ambient          Silence                    -0.854
   00:30-00:40  near-silence               ambient          Silence                    -0.837
   00:40-00:50  near-silence               ambient          Silence                    -0.841
   00:50-01:00  near-silence               ambient          Silence                    -0.812
   01:00-01:10  near-silence               biological       Silence                    -0.868
   01:10-01:20  near-silence               ambient          Silence                    -0.819
   01:20-01:30  near-silence               ambient          Silence                    -0.868
   01:30-01:40  near-silence               biological       Silence                    -0.863
   01:40-01:50  near-silence               ambient          Silence                    -0.857
   01:50-02:00  near-silence               ambient          Silence                    -0.835
   02:00-02:10  near-silence               ambient          Silence                    -0.825
   02:10-02:20  near-silence               ambient          Silence                    -0.852
   02:20-02:30  near-silence               ambient          Silence                    -0.823
   02:30-02:40  near-silence               ambient          Silence                    -0.914
   02:40-02:50  near-silence               biological       Silence                    -0.921
   02:50-03:00  near-silence               ambient          Silence                    -0.861
   03:00-03:10  near-silence               biological       Silence                    -0.865
   03:10-03:20  near-silence               biological       Silence                    -0.851
   03:20-03:30  near-silence               biological       Silence                    -0.858
   03:30-03:40  near-silence               biological       Silence                    -0.857
   03:40-03:50  near-silence               ambient          Silence                    -0.772
   03:50-04:00  near-silence               ambient          Silence                    -0.853
   04:00-04:10  near-silence               ambient          Silence                    -0.901
   04:10-04:20  near-silence               biological       Silence                    -0.861
   04:20-04:30  near-silence               ambient          Silence                    -0.824
   04:30-04:40  near-silence               ambient          Silence                    -0.856
   04:40-04:50  near-silence               ambient          Silence                    -0.838
   04:50-05:00  near-silence               ambient          Silence                    -0.867
   05:00-05:10  near-silence               ambient          Silence                    -0.832
